N00,action,AIR[$r1],6.722799922900612,3.601314513687998
N01,action,AIR[$r2],6.185270147151642,4.045527122516505
N02,action,AIR[$r3],6.731848617976214,3.593286440429981
N03,action,AIR[$r4],6.7326527935585485,3.5967621525872877
N04,action,AIR[$r5],6.177652969603383,4.043814454039244
N05,action,AIR[$r6],6.736012298103756,3.597440363162975
N06,states,TEMP[$r1],19.24566678967731,4.2249730578651565
N07,states,TEMP[$r2],19.77745864989169,4.515702265800091
N08,states,TEMP[$r3],19.251566056273305,4.228708933623978
N09,states,TEMP[$r4],19.253576450554405,4.230238238786866
N010,states,TEMP[$r5],19.77607530945558,4.5148016094895285
N011,states,TEMP[$r6],19.254315374701598,4.230650853162414
N012,states,AIR_VOLUME[$r1],6.523485659982921,3.6559592127699467
N013,states,AIR_VOLUME[$r2],6.117392280803621,3.975176754653447
N014,states,AIR_VOLUME[$r3],6.530415304051197,3.6480363207125444
N015,states,AIR_VOLUME[$r4],6.529416145805316,3.654843599144827
N016,states,AIR_VOLUME[$r5],6.116535556577335,3.9716861515732504
N017,states,AIR_VOLUME[$r6],6.528813511026478,3.654686379978673
